Origin,"Albany, NY, USA","Atlanta, GA, USA","Austin, TX, USA","Baltimore, MD, USA","Baton Rouge, LA, USA","Beaumont, TX, USA","Birmingham, AL, USA","Boston, MA, USA","Buffalo, NY, USA","Charleston, SC, USA","Charlotte, NC, USA","Chicago, IL, USA","Cincinnati, OH, USA","Cleveland, OH, USA","Columbus, OH, USA","Corpus Christi, TX, USA","Dallas, TX, USA","Dayton, OH, USA","Denver, CO, USA","Detroit, MI, USA","El Paso, TX, USA","Fort Wayne, IN, USA","Fresno, CA, USA","Grand Rapids, MI, USA","Greensboro, NC, USA","Greenville, SC, USA","Hartford, CT, USA","Houston, TX, USA","Indianapolis, IN, USA","Jacksonville, FL, USA","Kansas City, MO, USA","Knoxville, TN, USA","Las Vegas, NV, USA","Los Angeles, CA, USA","Louisville, KY, USA","Memphis, TN, USA","Miami, FL, USA","Milwaukee, WI, USA","Minneapolis, MN, USA","Nashville, TN, USA","New Orleans, LA, USA","New York, NY, USA","Oklahoma City, OK, USA","Omaha, NE, USA","Orlando, FL, USA","Philadelphia, PA, USA","Phoenix, AZ, USA","Pittsburgh, PA, USA","Portland, OR, USA","Raleigh, NC, USA","Richmond, VA, USA","Rochester, NY, USA","Sacramento, CA, USA","Salt Lake City, UT, USA","San Antonio, TX, USA","San Diego, CA, USA","San Francisco, CA, USA","Seattle, WA, USA","St. Louis, MO, USA","Tampa, FL, USA","Tucson, AZ, USA","Tulsa, OK, USA","Washington, USA","Wichita, KS, USA"
"El Paso, TX, USA",3568988,2776506,927133,3218212,2343356,1335226,2046170,3834695,3109977,2757955,2675300,2278764,2475070,2815361,2588319,1119301,1021802,2494864,1640583,2797314,0,2303136,1903203,2633564,2812203,2512528,1024720,1201315,2390465,2667095,1522807,2375997,1175243,515257,1204852,1747708,2598949,2513461,2223565,2088219,1631181,3449104,1113622,1643332,3109159,3340979,0,2884439,2618942,2930795,3074475,3221172,1290260,1390072,886781,1907035,1165583,2720946,1914712,2748907,692202,1283520,3651548,2506607
"Fort Wayne, IN, USA",1090710,1760448,1951909,1516034,379201,1777846,965758,1356418,631700,1262864,932225,1027602,288209,328841,254814,2156759,1638920,203815,3678302,261785,2512350,0,3658659,280209,897833,956573,1847291,1823786,260119,3464336,982418,689954,3046858,2934208,1293892,954225,1543439,405791,915356,658863,1567802,1039529,1397401,985920,2093101,993100,0,513599,3645432,1017198,1013995,742895,3477864,2482894,2078493,3519007,3508661,3578115,596885,1732849,2940932,1229241,1203872,195802
"Fresno, CA, USA",4736526,4287439,2565916,3299126,3566193,2974008,3475739,5002233,4277515,4190260,4107606,3711070,3697907,3974656,3811156,2758084,2508296,3717701,300217,3871770,1639498,3525973,0,3708020,4171374,3944834,1836029,2840098,3444343,1499182,2804042,3713357,635292,1127394,2427690,3085068,4109882,3510669,3300434,3425578,3172166,4690481,2336460,2698865,4620092,4563816,0,4107276,1204564,4290739,4411835,4388711,353645,1308698,2525564,272900,544350,1482984,3137550,4259840,950369,2506358,4854823,3676908
"Grand Rapids, MI, USA",1081182,1957643,2044476,1060205,596608,1910990,1183165,1346889,620325,1518117,1187477,1224797,572824,484090,516812,2289903,1731501,488430,3704704,253169,2634285,407900,3685062,0,1153085,1241188,1873694,1956929,287995,3296218,1062264,974569,3073261,3056143,1379636,1087368,1798691,205735,747239,876270,1700946,1199915,1519335,1012323,2290296,1150169,0,670668,3671835,1272450,1167707,733366,3504267,2509297,2171061,3545410,3603186,3409997,718820,1930043,3062866,1351176,1255133,281791
"Greensboro, NC, USA",1097506,1037497,2030854,531641,788198,1673774,769779,1172482,1021305,441224,151405,533739,710262,795672,651546,2141841,1790674,701259,4171060,961642,2812343,887955,4450660,1155142,0,303802,2604022,1808982,1178220,4391448,1633748,459756,3629951,3326475,1835054,1086013,721312,1334092,1842468,746675,1379742,837659,1835110,1863040,1287512,690686,0,686784,4521424,123303,324630,1035744,3970623,3358886,2123664,4395000,3976801,4505227,1237871,949176,3377200,1731216,1013467,895997
"Greenville, SC, USA",1387178,959847,1731158,835003,662167,1374079,470083,1475844,1207104,342707,167450,234043,669470,981471,732538,1842146,1490979,755194,3948209,1090411,2512648,839864,4227808,1239893,304353,0,2414807,1509286,1138902,4284915,1444532,270540,3407099,3026779,1790743,863161,623281,1294773,1803150,557460,1080047,1141021,1612258,1740916,1189482,994048,0,872583,4332209,422944,624271,1318299,3747771,3169671,1823969,4218291,3677106,4398695,1048655,851146,3203724,1508364,1316829,956070
"Hartford, CT, USA",179840,2015482,3001169,2298175,1400224,2681348,1745568,163102,639396,1419209,1176694,1559028,1236801,902101,1064819,3149415,2688180,1178419,4852753,1044764,3653297,1344094,4833110,1253764,1025556,1329091,0,2816555,1434570,4638787,2123365,1334508,4221310,4075156,2434839,1960765,1699296,1580243,2089808,1621427,2387316,190777,2538348,2160371,2265497,344015,0,757964,4819883,977586,730640,538409,4652316,3657345,3131237,4693459,4649608,4752567,1737832,1927161,4081879,2370188,3021743,1202702
"Houston, TX, USA",2818809,1577874,261188,2327128,1530201,136594,1072711,2975669,2381331,1746388,1672228,1276151,1686116,2086715,1858131,333986,384835,1771841,2837981,2083763,1198523,1620123,3100601,1964140,1809131,1509456,1655758,0,1731364,3744101,1198348,1484913,2343661,1712655,968964,912812,1400318,1854360,1896324,1253322,432549,2620759,715577,1443473,1910528,2486173,0,2149678,3648495,1927723,2129049,2492526,2487659,2376418,317704,3104433,2362981,3750499,1255762,1550275,1889600,795877,2824908,1823595
"Indianapolis, IN, USA",1262900,1545125,1744927,1320924,184091,1570865,770648,1528607,803889,1171718,925983,812280,180727,509273,282231,1949778,1431938,188776,3527811,454130,2305369,293834,3649287,410595,891591,842509,1745711,1616804,0,3445488,775436,575890,2948420,2727227,1086911,747243,1367667,449706,958082,463753,1360821,1143016,1190419,976548,1877779,1034890,0,578351,3636059,1010956,1007753,915084,3327374,2473521,1871512,3509635,3301680,3559268,389904,1517526,2733951,1022260,1345460,193962
"Jacksonville, FL, USA",1726380,321672,1659104,881971,1233854,1265730,791890,1845080,1668853,383599,617129,556623,1297357,1443220,1299093,1733798,1604252,1348807,4106775,1609190,2596439,1415602,4386374,1802689,721285,624066,2814942,1400938,1661947,0,1844668,899512,3565665,3110571,2112549,1184967,4685051,1814079,2347922,957595,971698,1510257,1934064,2141052,569477,1363284,0,1334331,4732344,730970,962607,1737710,3885575,3569806,1715620,4376857,3760897,4798830,1448791,231140,3287516,1830170,1686065,1543544
